,CellID,cell_size,Hoechst1,A488,A555,A647,Hoechst2,anti_NaKATPase,anti_CD3,anti_CD45RO,Hoechst3,Ki67,Keratin,aSMA,Hoechst4,CD8a,CD4,CD45,Hoechst5,CD20,CD11c,PD1,Hoechst6,CD68,FOXP3,PDL1,Hoechst7,CD163,H3_PE,CD31,Hoechst8,Ecad,Vimentin,Catenin,Hoechst9,LaminAC,pH3,H2ax,x_centroid,y_centroid
158,159,167.0,14468.832335329342,1936.131736526946,458.58682634730536,1047.6347305389222,20953.275449101795,3744.317365269461,7037.185628742515,4585.994011976048,19688.670658682633,2601.2095808383233,284.4311377245509,2195.562874251497,35632.53892215569,4089.1017964071857,3625.940119760479,4135.958083832335,36764.526946107784,6344.335329341317,8545.85628742515,22086.335329341317,31744.988023952097,1266.4730538922156,515.6586826347306,1600.1437125748503,32246.29341317365,1173.6047904191616,16389.17964071856,1538.005988023952,29265.74850299401,1103.1377245508982,1369.0419161676646,1122.5988023952095,46416.4371257485,2486.4071856287424,460.5808383233533,1135.0,107.79640718562874,59.97604790419162
159,160,144.0,18543.1875,1913.611111111111,464.06944444444446,993.9236111111111,24864.3125,4907.069444444444,10239.5625,14531.743055555555,25460.98611111111,2956.3958333333335,308.44444444444446,1301.638888888889,45428.09027777778,12982.159722222223,4182.875,3381.347222222222,46315.70138888889,2012.3472222222222,1962.1041666666667,28371.104166666668,40479.055555555555,1141.4791666666667,519.4861111111111,1452.5208333333333,41049.916666666664,1212.1041666666667,20514.131944444445,1747.75,36825.34722222222,1044.0347222222222,966.5,1173.8958333333333,56138.21527777778,1970.5902777777778,457.36805555555554,1145.8541666666667,109.51388888888889,74.125
160,161,139.0,14038.992805755395,1991.6402877697842,468.40287769784175,1009.6618705035971,19796.805755395682,5250.856115107914,10716.26618705036,12664.956834532373,19569.43165467626,3041.2374100719426,316.72661870503595,1638.4028776978416,35427.24460431655,2541.726618705036,7733.6115107913665,4667.482014388489,36023.92086330935,1706.7553956834533,5655.791366906475,23126.179856115108,30308.122302158274,1536.0647482014388,545.7769784172662,1576.388489208633,31878.805755395682,1214.7841726618706,16085.06474820144,1033.431654676259,28313.892086330936,1173.388489208633,2663.546762589928,1244.0431654676258,47406.24460431655,1829.1942446043165,468.8705035971223,1130.36690647482,109.05035971223022,13.60431654676259
161,162,65.0,14021.984615384616,1914.7384615384615,463.3076923076923,1132.2615384615385,20245.323076923076,4801.538461538462,11210.16923076923,17766.76923076923,19350.584615384614,2836.246153846154,318.75384615384615,1296.1384615384616,35285.6,3358.4461538461537,8793.938461538462,4385.676923076923,35719.47692307692,2081.4153846153845,14918.523076923077,26698.6,29946.384615384617,1479.8461538461538,529.9384615384615,1731.3384615384616,30239.30769230769,1204.0923076923077,14682.353846153846,1042.1384615384616,27337.33846153846,1138.7230769230769,1000.5230769230769,1082.4,44301.86153846154,1822.9692307692308,459.66153846153844,1125.8,109.38461538461539,35.15384615384615
162,163,150.0,12873.546666666667,1906.8466666666666,683.7066666666667,1039.4733333333334,18718.92,4372.026666666667,8089.433333333333,9660.646666666667,17909.24,3893.5866666666666,298.8933333333333,1536.9466666666667,31693.753333333334,3161.6133333333332,6449.713333333333,4035.8133333333335,32381.906666666666,6529.94,4799.6466666666665,22919.546666666665,29073.166666666668,2213.92,518.02,1516.4466666666667,29120.3,1139.1466666666668,14081.913333333334,843.44,26551.113333333335,1122.4533333333334,1268.5533333333333,1151.56,41362.78666666667,2030.7666666666667,440.38,1130.1133333333332,109.15333333333334,114.93333333333334
163,164,113.0,13032.522123893805,2010.495575221239,480.53097345132744,1162.283185840708,17392.36283185841,5652.876106194691,9486.646017699115,33919.80530973451,18231.929203539825,3169.0,331.3362831858407,2807.2300884955753,32161.867256637168,7301.725663716814,7609.840707964602,5097.1061946902655,32430.283185840708,3289.336283185841,7664.061946902655,26978.840707964602,28633.41592920354,3280.353982300885,541.7522123893805,1682.7610619469026,29145.088495575223,1108.3008849557523,12361.87610619469,1418.4690265486727,25595.814159292036,1014.6106194690266,2097.3008849557523,1224.5398230088495,40504.55752212389,1759.8053097345132,460.50442477876106,1217.9646017699115,108.6283185840708,170.20353982300884
164,165,119.0,13536.588235294117,1927.9663865546217,475.1764705882353,1040.126050420168,20072.29411764706,4600.075630252101,6420.126050420168,10602.47899159664,18204.277310924368,2923.285714285714,298.1848739495798,1101.2689075630253,32306.378151260506,15858.588235294117,4983.957983193277,3318.6134453781515,32876.117647058825,6964.302521008403,8256.731092436974,23231.722689075632,29470.89075630252,1383.7394957983192,541.109243697479,1490.2268907563025,29374.85714285714,1163.2521008403362,14982.714285714286,2467.4873949579833,25790.462184873948,966.1344537815127,1117.3361344537816,1126.1764705882354,41147.5462184874,2081.9579831932774,460.4117647058824,1163.2100840336134,110.7983193277311,128.03361344537817
165,166,274.0,12995.401459854014,1935.397810218978,5320.92700729927,1202.8941605839416,19008.105839416057,4695.332116788321,5740.57299270073,10651.83211678832,17988.0401459854,36536.06934306569,300.9160583941606,1073.5255474452554,31202.638686131388,4395.799270072993,5692.5,5185.8576642335765,32043.879562043796,2898.934306569343,2036.2810218978102,15887.135036496351,28544.777372262775,985.7518248175182,508.5948905109489,1457.5036496350365,27933.26277372263,1162.2226277372263,16484.408759124086,963.6131386861314,25494.24817518248,956.4598540145986,906.0182481751825,1153.5036496350365,39572.109489051094,1801.4270072992701,447.45255474452557,1152.8102189781023,112.0036496350365,99.72992700729927
166,167,38.0,8907.447368421053,1842.8157894736842,447.3421052631579,1045.1052631578948,11992.921052631578,3953.0526315789475,4002.815789473684,4585.8421052631575,11829.578947368422,24365.157894736843,273.86842105263156,1021.1578947368421,20594.684210526317,8256.894736842105,2421.3684210526317,4072.0789473684213,21682.736842105263,10378.973684210527,2301.7368421052633,14687.157894736842,19329.92105263158,1100.8684210526317,502.6578947368421,1501.3684210526317,20014.684210526317,1073.7105263157894,11763.578947368422,1090.5526315789473,17940.763157894737,992.1052631578947,1282.4473684210527,1003.0526315789474,29773.684210526317,1570.6052631578948,435.36842105263156,1141.6052631578948,112.89473684210526,181.78947368421052
167,168,119.0,18544.008403361346,1946.4117647058824,1207.7899159663866,1055.3949579831933,26603.63025210084,4983.193277310925,13799.697478991597,10988.588235294117,26679.89075630252,3046.0672268907565,308.20168067226894,1091.9327731092437,46771.56302521008,4274.756302521008,8018.436974789916,3636.235294117647,46558.8487394958,2051.36974789916,3467.6890756302523,25301.78151260504,41307.10924369748,1046.9831932773109,506.218487394958,1437.436974789916,41215.8487394958,1187.1764705882354,19256.344537815126,1777.689075630252,36423.747899159665,1138.5294117647059,1007.4705882352941,1237.2605042016808,49962.882352941175,1803.5126050420167,438.1764705882353,1125.0,116.17647058823529,82.92436974789916
